calories,distance,floors,heart,interval in seconds,newtime,nntime,rrmedfilt,steps,NNRR,AVNN,SDNN,RMSSD,pNN50,TP,ULF,VLF,LF,HF,LF_HF,HR
5.544000149,0.06560000032,0.0,82.0,0.674566666667,540975.733333,540975.733333,672.4,93.0,0.966667,0.675483,0.0356116,0.0191619,0.0,0.00125772,0.00125772,0.0,0.0,0.0,,82.0
5.78296566034,0.0661896554541,0.0,83.7586206897,0.691448275862,561595.413793,561595.413793,691.034482759,93.8275862069,0.965517,0.69025,0.0373726,0.0205047,0.0,0.00135482,0.00135482,0.0,0.0,0.0,,83.7586206897
7.854000092,0.07129999995,0.0,99.0,0.658516129032,581778.806452,581778.806452,657.709677419,101.0,0.967742,0.658733,0.0303973,0.0147403,0.0,0.000905621,0.000905621,0.0,0.0,0.0,,99.0
7.854000092,0.07129999995,0.0,99.0,0.63475,602018.90625,602018.90625,634.03125,101.0,0.96875,0.634645,0.0195594,0.00976046,0.0,0.000364323,0.000364323,0.0,0.0,0.0,,99.0
7.79625010525,0.0715624997375,0.125,99.625,0.62728125,622097.15625,622097.15625,626.78125,101.375,0.96875,0.626645,0.0137199,0.00810967,0.0,0.000178695,0.000178695,0.0,0.0,0.0,,99.625
7.392000198,0.07339999825,1.0,104.0,0.662064516129,642390.677419,642390.677419,662.258064516,104.0,0.967742,0.661867,0.037546,0.0236847,0.0344828,0.00132196,0.00132196,0.0,0.0,0.0,,104.0
7.392000198,0.07339999825,1.0,104.0,0.667766666667,662740.2,662740.2,667.9,104.0,0.966667,0.668172,0.0210001,0.0176908,0.0,0.000412398,0.000412398,0.0,0.0,0.0,,104.0
7.31500013633,0.0730499985333,0.833333333333,104.166666667,0.666766666667,682706.966667,682706.966667,663.033333333,103.5,0.966667,0.666,0.0343906,0.0172761,0.0,0.00107933,0.00107933,0.0,0.0,0.0,,104.166666667
6.929999828,0.07129999995,0.0,105.0,0.6761,702757.0,702757.0,673.966666667,101.0,0.966667,0.676207,0.038624,0.0249235,0.107143,0.00137422,0.00137422,0.0,0.0,0.0,,105.0
6.929999828,0.07129999995,0.0,105.0,0.688233333333,723227.966667,723227.966667,687.366666667,101.0,0.966667,0.688276,0.0370501,0.0242818,0.0357143,0.00128572,0.00128572,0.0,0.0,0.0,,105.0
7.16099987,0.070299999414,0.2,104.2,0.67,743749.2,743749.2,668.966666667,99.6,0.966667,0.66969,0.0268316,0.0194808,0.0,0.000676909,0.000676909,0.0,0.0,0.0,,104.2
8.085000038,0.06629999727,1.0,101.0,0.570944444444,764276.972222,764276.972222,571.194444444,94.0,0.972222,0.568229,0.0360507,0.0102182,0.0,0.00124446,0.00124446,0.0,0.0,0.0,,101.0
